px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.87155	-11.8028	-1.62306	1.54786	-0.37316	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.776957
9.82792	-11.965	-2.32777	1.49334	-0.411576	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	11.4056
9.80987	-12.0824	-2.34747	1.46756	-0.416941	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	1.34671
9.74372	-12.2094	-1.89608	1.39409	-0.476315	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	16.8008
9.71664	-12.3024	-1.91846	1.36461	-0.481993	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	1.41556
9.62489	-12.4036	-1.29357	1.27006	-0.559846	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	32.1766
9.59261	-12.4678	-1.33698	1.23432	-0.567574	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	2.82312
9.48895	-12.6342	-1.93038	1.15035	-0.623174	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	19.8772
9.4313	-12.7301	-1.97223	1.10884	-0.630116	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	2.12053
9.292	-12.7976	-0.75157	0.949454	-0.774882	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	85.7251
9.2436	-12.8359	-0.882035	0.897053	-0.78813	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	8.28355
9.04789	-13.008	-1.54324	0.759951	-0.888067	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	64.0143
8.961	-13.0642	-1.65608	0.700886	-0.897223	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	4.27017
8.72558	-13.1955	-2.44178	0.548159	-1.01932	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	51.0719
8.59658	-13.2495	-2.54037	0.487964	-1.02697	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	3.20392
8.32258	-13.3036	-3.52378	0.312948	-1.1633	8.22926	-13.1698	8.2	-13.15	-2.72741	0	38.388
8.1277	-13.3391	-3.51749	0.240323	-1.16999	8.03583	-13.1513	8.05	-13.15	-2.72742	0	2.13182
7.96523	-13.3409	-3.39299	0.153835	-1.19318	7.82914	-13.0525	7.9	-13.15	-2.72986	0	2.66359
7.77966	-13.3453	-3.3491	0.0799491	-1.19964	7.76538	-13.1647	7.75	-13.15	-2.72986	0	1.60706
7.72215	-13.3751	-2.04814	0.0531791	-1.15836	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	19.1068
7.60545	-13.3666	-2.08933	-0.00810277	-1.15946	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	1.84767
7.41162	-13.3788	-2.65161	-0.0562309	-1.14438	7.21108	-13.0985	7.3	-13.25	-2.72846	0	4.43662
7.2571	-13.3546	-2.67587	-0.123252	-1.14658	7.16011	-13.2382	7.15	-13.25	-2.72844	0	1.12072
7.06373	-13.3099	-3.44052	-0.194234	-1.16156	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	7.24432
6.89118	-13.2611	-3.44639	-0.256803	-1.16443	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.697777
6.75256	-13.2158	-2.95495	-0.320974	-1.1631	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	1.99266
6.5961	-13.1514	-2.96305	-0.387938	-1.16483	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.41409
6.4838	-13.1348	-1.95783	-0.42694	-1.13701	6.40137	-13.0799	6.4	-13.05	-2.72678	0	11.9967
6.37899	-13.0822	-1.98562	-0.488968	-1.1354	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0.697321
6.21326	-13.0457	-2.29048	-0.515039	-1.09942	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	7.06245
6.09589	-12.9743	-2.3222	-0.574453	-1.09719	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.15422
5.89129	-12.8816	-3.49821	-0.603061	-1.07244	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	15.0219
5.74397	-12.7729	-3.51536	-0.656774	-1.07148	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0.476037
5.62876	-12.7273	-2.21301	-0.681019	-1.03169	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	19.2811
5.53158	-12.6464	-2.22857	-0.735959	-1.02934	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0.406956
5.36789	-12.5447	-2.98888	-0.762082	-0.998123	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	7.56168
5.24719	-12.4291	-3.00207	-0.813497	-0.994335	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0.699286
5.11076	-12.3517	-2.62456	-0.827069	-0.950821	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	7.12658
5.01213	-12.2419	-2.63512	-0.877473	-0.948555	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0.317284
4.88294	-12.1439	-2.83667	-0.892241	-0.913764	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	4.94749
4.79562	-12.034	-2.83708	-0.936267	-0.912199	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0.111316
4.6981	-11.9041	-2.92302	-0.982057	-0.907561	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.130838
4.61294	-11.7666	-2.92274	-1.03327	-0.908791	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0.0672227
4.58024	-11.6595	-2.15933	-1.10157	-0.928126	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.55074
4.53051	-11.5546	-2.1551	-1.15256	-0.928371	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0.0304935
4.44418	-11.3392	-4.01421	-1.20468	-0.934436	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	30.1232
4.3792	-11.1516	-4.0109	-1.25274	-0.936189	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0.174084
4.39198	-11.0329	-2.16447	-1.34134	-0.978704	4.43713	-11.024	4.45	-11.05	0	1.81614	32.7185
4.3713	-10.9192	-2.15943	-1.39674	-0.98076	4.45136	-10.93	4.45	-10.95	0	1.81612	0.303132
4.37703	-10.7497	-2.6837	-1.47907	-1.01182	4.44745	-10.786	4.45	-10.8	0	2.72555	5.65492
4.37157	-10.6085	-2.67525	-1.53615	-1.01394	4.45788	-10.6457	4.45	-10.65	0	2.72554	0.417835
4.3853	-10.4507	-2.75055	-1.60537	-1.02926	4.46329	-10.5756	4.45	-10.5	0	2.729	1.05858
4.39713	-10.3045	-2.74448	-1.6627	-1.03043	4.44057	-10.3382	4.45	-10.35	0	2.72898	0.145704
4.43913	-10.1422	-2.74535	-1.74153	-1.05619	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	2.17946
4.4729	-10.0006	-2.7404	-1.80141	-1.05857	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0.367284
4.53541	-9.82846	-2.99517	-1.87618	-1.07791	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	2.01753
4.59281	-9.68121	-2.98486	-1.93688	-1.07978	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0.32749
4.65211	-9.50116	-3.43282	-1.98205	-1.0609	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.55043
4.73561	-9.34274	-3.40803	-2.04189	-1.06249	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.691449
4.80924	-9.21018	-3.11513	-2.09704	-1.05893	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	1.30035
4.9033	-9.07231	-3.10999	-2.1574	-1.06123	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.316146
4.96979	-8.96447	-2.91922	-2.20194	-1.05041	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.679309
5.0598	-8.85733	-2.89423	-2.25552	-1.05112	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.428896
5.13538	-8.72203	-3.16724	-2.28105	-1.00557	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	8.42047
5.2542	-8.59716	-3.16163	-2.3375	-1.00659	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.0831623
5.3455	-8.49688	-3.04588	-2.37956	-0.994868	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.611813
5.45812	-8.39716	-3.03431	-2.42975	-0.995151	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.0481434
5.49924	-8.30628	-2.61145	-2.44121	-0.933522	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	13.8574
5.60654	-8.21808	-2.57355	-2.49182	-0.932807	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.250152
5.68366	-8.09025	-2.52904	-2.49267	-0.86222	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	22.9961
5.79982	-8.00497	-2.56796	-2.5397	-0.861869	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.23873
5.91832	-7.86397	-2.65956	-2.54076	-0.798349	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	17.8722
6.04151	-7.78021	-2.68151	-2.58364	-0.797475	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.111508
6.12542	-7.65921	-2.29183	-2.57252	-0.723591	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	21.2278
6.23389	-7.58977	-2.31469	-2.61122	-0.7226	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.127102
6.34638	-7.46959	-2.19339	-2.60525	-0.663023	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	16.5153
6.45035	-7.40646	-2.20535	-2.64034	-0.661941	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.0859428
6.60788	-7.29119	-2.71394	-2.65209	-0.637004	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	5.55916
6.72886	-7.22384	-2.74002	-2.68177	-0.635081	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.320206
6.77172	-7.09886	-1.58315	-2.62825	-0.5245	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	47.7598
6.84727	-7.04979	-1.61248	-2.65392	-0.521834	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.511002
7.02476	-6.93056	-2.45375	-2.65775	-0.493483	7.08741	-6.92602	7	-6.85	2.72856	1.81904	8.98588
7.14349	-6.86177	-2.48174	-2.68131	-0.490561	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.58647
7.23898	-6.72569	-1.86448	-2.62588	-0.392219	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	33.5278
7.32817	-6.66906	-1.89658	-2.64404	-0.389321	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.588489
7.53805	-6.56506	-3.29663	-2.67335	-0.403593	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	18.6847
7.68303	-6.48965	-3.29423	-2.69213	-0.402652	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.065842
7.77475	-6.42439	-2.54198	-2.69318	-0.37695	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	5.67225
7.89757	-6.36349	-2.53099	-2.71314	-0.376766	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.101646
8.01543	-6.29165	-2.34148	-2.71722	-0.357536	8.03231	-6.28406	8	-6.25	2.72931	1.81954	1.66244
8.13136	-6.2341	-2.35943	-2.73388	-0.355105	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.369401
8.22897	-6.11942	-1.91017	-2.68956	-0.284898	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	21.6541
8.3136	-6.07142	-1.93459	-2.70012	-0.281814	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.75013
8.51427	-5.95478	-3.09371	-2.6972	-0.263971	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	12.9292
8.66709	-5.88139	-3.09465	-2.71096	-0.263428	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0193624
8.74516	-5.77941	-2.0387	-2.66594	-0.193216	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	20.4072
8.84394	-5.72387	-2.05647	-2.674	-0.190979	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.313765
8.94619	-5.62452	-1.92567	-2.64099	-0.142899	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	10.2987
9.02977	-5.57251	-1.94928	-2.64483	-0.139989	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.676071
9.2224	-5.4482	-3.16528	-2.63923	-0.128654	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	14.0282
9.37161	-5.36212	-3.16454	-2.6446	-0.127477	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.104686
9.43345	-5.27199	-2.00275	-2.60133	-0.0671237	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	17.9112
9.52842	-5.21139	-2.02476	-2.60277	-0.0648952	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.322292
9.62243	-5.12411	-1.81284	-2.57792	-0.0321636	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	5.23609
9.70857	-5.06476	-1.85069	-2.57643	-0.0288732	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.943413
9.82882	-4.92499	-1.93528	-2.52132	0.0343241	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	18.2055
